Program,Service,Activity,Category Name,Category,Expense/Revenue,2016
311 Toronto,311 Performance Reporting,311 Performance Reporting,Materials & Supplies,200A,Expenses,20.0
311 Toronto,311 Performance Reporting,311 Performance Reporting,Salaries And Benefits,100A,Expenses,240032.08
311 Toronto,311 Performance Reporting,311 Performance Reporting,Service And Rent,400A,Expenses,37.0
311 Toronto,311 Service Delivery,311 Service Delivery,Equipment,300A,Expenses,25357.01
311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Charges,700A,Expenses,194276.92
311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Recoveries,750A,Revenues,-5693589.0
311 Toronto,311 Service Delivery,311 Service Delivery,Materials & Supplies,200A,Expenses,8229.25
311 Toronto,311 Service Delivery,311 Service Delivery,Salaries And Benefits,100A,Expenses,10903058.36
311 Toronto,311 Service Delivery,311 Service Delivery,Service And Rent,400A,Expenses,1621425.35
311 Toronto,TO-311 Development,311 PMO,Contribution To Reserves/Reserve Funds,510A,Expenses,25905.28
311 Toronto,TO-311 Development,311 PMO,Materials & Supplies,200A,Expenses,1239.25
311 Toronto,TO-311 Development,311 PMO,Salaries And Benefits,100A,Expenses,2922847.01
311 Toronto,TO-311 Development,311 PMO,Service And Rent,400A,Expenses,10454.91
311 Toronto,TO-311 Development,311 PMO,Transfers From Capital,920A,Revenues,-2624869.9
311 Toronto,TO-311 Information & Business Processing,311 Business Processing,Salaries And Benefits,100A,Expenses,440114.27
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,Materials & Supplies,200A,Expenses,100.0
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,Salaries And Benefits,100A,Expenses,906747.61
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,Service And Rent,400A,Expenses,794.0
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Contribution From Reserves/Reserve Funds,930A,Revenues,-166333.33
