Ward Number	Ward Name	Project #	Prefix	Project Name	Sub-project Name	Year	Budgeted
1	Etobicoke North	ACH000010-56	ACH	Cultural Infrastructure Development	Franklin Carmichael Art Centre Expansion - FY	2014	300.0
1	Etobicoke North	ACH000016-58	ACH	Major Maintenance	Franklin Carmichael - FY	2016	149.0
1	Etobicoke North	ACH000016-58	ACH	Major Maintenance	Franklin Carmichael - FY	2017	149.0
1	Etobicoke North	ACH000016-58	ACH	Major Maintenance	Franklin Carmichael - FY	2020	100.0
1	Etobicoke North	ACH000016-84	ACH	Major Maintenance	Franklin Carmichael - 2013	2014	70.0
1	Etobicoke North	FAC906394-204	FAC	Structural/Building Envelope	1535 ALBION-Rpl Pavement,Window, Paints	2018	8.0
1	Etobicoke North	FAC906394-204	FAC	Structural/Building Envelope	1535 ALBION-Rpl Pavement,Window, Paints	2019	76.0
1	Etobicoke North	FAC906397-65	FAC	Renovations	1535 Albion Rd - Kitchen & WR Reno	2015	10.0
1	Etobicoke North	FAC906397-65	FAC	Renovations	1535 Albion Rd - Kitchen & WR Reno	2016	96.0
1	Etobicoke North	FIR907653-1	FIR	Bunker Suits Lifecycle Replacement-2020	Bunker Suits Lifecycle Replacement-2020	2020	4300.0
1	Etobicoke North	LIB000155-1	LIB	Albion District Library Renovation	Albion District Library Renovation	2014	1076.0
1	Etobicoke North	LIB000155-1	LIB	Albion District Library Renovation	Albion District Library Renovation	2015	6621.0
1	Etobicoke North	LIB000155-1	LIB	Albion District Library Renovation	Albion District Library Renovation	2016	5844.0
1	Etobicoke North	LIB000155-1	LIB	Albion District Library Renovation	Albion District Library Renovation	2017	795.0
1	Etobicoke North	TRC000195-9	TRC	BLACK CREEK PIONEER VILLAGE RETROFIT	Post Current 5 year Project	2019	350.0
1	Etobicoke North	TRC000195-9	TRC	BLACK CREEK PIONEER VILLAGE RETROFIT	Post Current 5 year Project	2020	350.0
1	Etobicoke North	TRC000195-9	TRC	BLACK CREEK PIONEER VILLAGE RETROFIT	Post Current 5 year Project	2021	350.0
1	Etobicoke North	TRC000195-9	TRC	BLACK CREEK PIONEER VILLAGE RETROFIT	Post Current 5 year Project	2022	350.0
1	Etobicoke North	TRC000195-9	TRC	BLACK CREEK PIONEER VILLAGE RETROFIT	Post Current 5 year Project	2023	350.0
1	Etobicoke North	FAC906396-138	FAC	Sitework	1535 Albion Road - Various Projects	2023	3.0
2	Etobicoke North	FAC906393-42	FAC	Re-roofing	947 Martin Grove-Rpl Training Centre Roofing	2014	88.0
2	Etobicoke North	FAC906393-93	FAC	Re-roofing	150 Disco - Roof Membrane Replacement	2014	619.0
2	Etobicoke North	FAC906395-144	FAC	Mechanical and Electrical	150 Disco - Replace rooftop A/C units	2018	65.0
2	Etobicoke North	FAC906395-144	FAC	Mechanical and Electrical	150 Disco - Replace rooftop A/C units	2019	822.0
