TITLE,boxoffice
The Croods 2 (2020),0
Mandy (2018),0
Teen Titans Go! To The Movies (2018),0
The Humanity Bureau (2018),0
Looking Glass (2018),0
Mom & Dad (2018),0
Primal (2017),0
Vengeance: A Love Story (2017),4526
Inconceivable (2017),0
Arsenal (2017),0
USS Indianapolis: Men of Courage (2016),0
Army Of One (2016),0
Dog Eat Dog (2016),0
Snowden (2015),22386124
The Trust (2016),0
Pay the Ghost (2015),0
The Runner (2015),0
Outcast (2015),0
Dying of the Light (2014),0
Left Behind (2014),15392735
Tokarev (2014),0
Joe (2014),409929
The Frozen Ground (2013),0
The Croods (2013),206506856
Stolen (2012),326535
Seeking Justice (2012),463982
Ghost Rider: Spirit of Vengeance (2012),58343311
Trespass (2011),19016
Drive Angry (2011),12127063
Season of the Witch (2011),28083249
National Treasure 3 (2010),0
The Sorcerer's Apprentice (2010),71795225
Kick-Ass (2010),54651402
Bad Lieutenant: Port of Call New Orleans (2009),2019811
Astro Boy (2009),23377237
G-Force (2009),142846380
Knowing (2009),95629322
Bangkok Dangerous (2008),19112011
National Treasure: Book of Secrets (2007),284106954
Next (2007),23743133
Grindhouse (2007),32634941
Ghost Rider (2007),150980995
The Wicker Man (2006),33433397
World Trade Center (2006),96244521
The Ant Bully (2006),38540233
The Weather Man (2005),17468088
Lord of War (2005),33794412
National Treasure (2004),249063119
Matchstick Men (2003),54851173
Sonny (2002),27224
Adaptation (2002),33811554
Windtalkers (2002),63166812
Captain Corelli's Mandolin (2001),40457696
The Family Man (2000),123496457
Gone in 60 Seconds (2000),169153569
Bringing Out The Dead (1999),29366282
8MM (1999),64349928
Snake Eyes (1998),106323007
City of Angels (1998),150617405
Face/Off (1997),219415466
Con Air (1997),197608849
The Rock (1996),272082238
Leaving Las Vegas (1995),64998549
Kiss of Death (1995),30812300
Trapped in Paradise (1994),13229665
It Could Happen To You (1994),83070040
Guarding Tess (1994),59411467
Red Rock West (1994),5501929
Amos & Andrew (1993),20500190
Honeymoon in Vegas (1992),76102027
Wild at Heart (1990),30948617
Fire Birds (1990),31374701
Vampire's Kiss (1989),1630181
Moonstruck (1987),176397185
Raising Arizona (1987),52413701
Peggy Sue Got Married (1986),100055004
The Boy in Blue (1986),664883
Birdy (1984),3685701
The Cotton Club (1984),67895284
Racing with the Moon (1984),14416064
Rumble Fish (1983),7119041
Valley Girl (1983),47839997
Fast Times at Ridgemont High (1982),82660927
