ID,TITLE,boxoffice,RATING_VALUE
5,Looking Glass,0,17
6,Mom & Dad,0,73
9,Inconceivable,0,30
10,Arsenal,0,3
11,USS Indianapolis: Men of Courage,0,9
12,Army Of One,0,27
13,Dog Eat Dog,0,47
15,The Trust,0,63
16,Pay the Ghost,0,10
17,The Runner,0,26
18,Outcast,0,5
19,Dying of the Light,0,9
20,Left Behind,15392735,1
22,Joe,409929,85
23,The Frozen Ground,0,61
24,The Croods,206506856,72
25,Stolen,326535,16
26,Seeking Justice,463982,27
27,Ghost Rider: Spirit of Vengeance,58343311,17
28,Trespass,19016,10
29,Drive Angry,12127063,46
30,Season of the Witch,28083249,9
32,The Sorcerer's Apprentice,71795225,40
33,Kick-Ass,54651402,75
34,Bad Lieutenant: Port of Call New Orleans,2019811,86
35,Astro Boy,23377237,50
36,G-Force,142846380,22
37,Knowing,95629322,33
38,Bangkok Dangerous,19112011,8
39,National Treasure: Book of Secrets,284106954,36
40,Next,23743133,28
41,Grindhouse,32634941,83
42,Ghost Rider,150980995,26
43,The Wicker Man,33433397,15
44,World Trade Center,96244521,68
45,The Ant Bully,38540233,63
46,The Weather Man,17468088,59
47,Lord of War,33794412,61
48,National Treasure,249063119,44
49,Matchstick Men,54851173,82
50,Sonny,27224,23
51,Adaptation,33811554,91
52,Windtalkers,63166812,32
53,Captain Corelli's Mandolin,40457696,28
54,The Family Man,123496457,53
55,Gone in 60 Seconds,169153569,24
56,Bringing Out The Dead,29366282,71
57,8MM,64349928,22
58,Snake Eyes,106323007,40
59,City of Angels,150617405,58
60,Face/Off,219415466,92
61,Con Air,197608849,55
62,The Rock,272082238,66
63,Leaving Las Vegas,64998549,90
64,Kiss of Death,30812300,68
65,Trapped in Paradise,13229665,10
66,It Could Happen To You,83070040,71
67,Guarding Tess,59411467,58
68,Red Rock West,5501929,95
69,Amos & Andrew,20500190,21
70,Honeymoon in Vegas,76102027,61
71,Wild at Heart,30948617,65
72,Fire Birds,31374701,10
73,Vampire's Kiss,1630181,61
74,Moonstruck,176397185,92
75,Raising Arizona,52413701,91
76,Peggy Sue Got Married,100055004,85
78,Birdy,3685701,85
79,The Cotton Club,67895284,73
80,Racing with the Moon,14416064,60
81,Rumble Fish,7119041,70
82,Valley Girl,47839997,81
83,Fast Times at Ridgemont High,82660927,78
