index,CAT,DOG,Total,cat_pct,dog_pct
M0M,0,1,1,0.0,100.0
M1B,293,674,967,30.3,69.7
M1C,387,967,1354,28.6,71.4
M1E,536,1085,1621,33.1,66.9
M1G,252,457,709,35.5,64.5
M1H,184,361,545,33.8,66.2
M1J,241,433,674,35.8,64.2
M1K,445,597,1042,42.7,57.3
M1L,293,540,833,35.2,64.8
M1M,267,709,976,27.4,72.6
M1N,438,895,1333,32.9,67.1
M1P,285,541,826,34.5,65.5
M1R,233,558,791,29.5,70.5
M1S,189,488,677,27.9,72.1
M1T,183,415,598,30.6,69.4
M1V,183,541,724,25.3,74.7
M1W,236,500,736,32.1,67.9
M1X,41,120,161,25.5,74.5
M2H,176,347,523,33.7,66.3
M2J,244,603,847,28.8,71.2
M2K,129,364,493,26.2,73.8
M2L,98,405,503,19.5,80.5
M2M,209,419,628,33.3,66.7
M2N,546,1024,1570,34.8,65.2
M2P,86,305,391,22.0,78.0
M2R,312,544,856,36.4,63.6
M3A,297,628,925,32.1,67.9
M3B,140,373,513,27.3,72.7
M3C,273,339,612,44.6,55.4
M3H,271,742,1013,26.8,73.2
M3J,148,250,398,37.2,62.8
M3K,65,103,168,38.7,61.3
M3L,79,252,331,23.9,76.1
M3M,158,280,438,36.1,63.9
M3N,129,237,366,35.2,64.8
M4A,90,207,297,30.3,69.7
M4B,238,450,688,34.6,65.4
M4C,663,1205,1868,35.5,64.5
M4E,454,1128,1582,28.7,71.3
M4G,317,773,1090,29.1,70.9
M4H,63,61,124,50.8,49.2
M4J,658,1067,1725,38.1,61.9
M4K,462,974,1436,32.2,67.8
M4L,527,1353,1880,28.0,72.0
M4M,253,665,918,27.6,72.4
M4N,156,716,872,17.9,82.1
M4P,243,515,758,32.1,67.9
M4R,210,410,620,33.9,66.1
M4S,328,814,1142,28.7,71.3
M4T,135,492,627,21.5,78.5
M4V,198,643,841,23.5,76.5
M4W,128,599,727,17.6,82.4
M4X,148,373,521,28.4,71.6
M4Y,165,508,673,24.5,75.5
M5A,281,685,966,29.1,70.9
M5B,71,125,196,36.2,63.8
M5C,13,65,78,16.7,83.3
M5E,37,101,138,26.8,73.2
M5G,27,66,93,29.0,71.0
M5H,5,25,30,16.7,83.3
M5J,72,131,203,35.5,64.5
M5K,1,0,1,100.0,0.0
M5M,321,1015,1336,24.0,76.0
M5N,149,492,641,23.2,76.8
M5P,172,679,851,20.2,79.8
M5R,261,628,889,29.4,70.6
M5S,108,214,322,33.5,66.5
M5T,108,199,307,35.2,64.8
M5V,281,697,978,28.7,71.3
M5W,1,0,1,100.0,0.0
M5X,0,2,2,0.0,100.0
M6A,110,177,287,38.3,61.7
M6B,165,450,615,26.8,73.2
M6C,297,686,983,30.2,69.8
M6E,446,859,1305,34.2,65.8
M6G,497,764,1261,39.4,60.6
M6H,650,954,1604,40.5,59.5
M6J,336,684,1020,32.9,67.1
M6K,388,657,1045,37.1,62.9
M6L,145,308,453,32.0,68.0
M6M,324,614,938,34.5,65.5
M6N,502,1026,1528,32.9,67.1
M6P,606,1057,1663,36.4,63.6
M6R,475,707,1182,40.2,59.8
M6S,608,1099,1707,35.6,64.4
M8V,562,1041,1603,35.1,64.9
M8W,490,857,1347,36.4,63.6
M8X,161,406,567,28.4,71.6
M8Y,335,698,1033,32.4,67.6
M8Z,303,585,888,34.1,65.9
M9A,424,995,1419,29.9,70.1
M9B,532,997,1529,34.8,65.2
M9C,558,1029,1587,35.2,64.8
M9L,60,129,189,31.7,68.3
M9M,148,293,441,33.6,66.4
M9N,195,440,635,30.7,69.3
M9P,199,434,633,31.4,68.6
M9R,271,548,819,33.1,66.9
M9V,234,498,732,32.0,68.0
M9W,328,701,1029,31.9,68.1
K0L,0,2,2,0.0,100.0
K1N,1,0,1,100.0,0.0
L0E,1,0,1,100.0,0.0
L1H,2,0,2,100.0,0.0
L1R,0,2,2,0.0,100.0
L1T,0,1,1,0.0,100.0
L1V,0,1,1,0.0,100.0
L1Z,0,1,1,0.0,100.0
L3B,1,1,2,50.0,50.0
L3R,0,2,2,0.0,100.0
L3T,2,2,4,50.0,50.0
L3Y,0,1,1,0.0,100.0
L4A,0,1,1,0.0,100.0
L4B,0,3,3,0.0,100.0
L4E,0,1,1,0.0,100.0
L4G,1,1,2,50.0,50.0
L4J,1,0,1,100.0,0.0
L4K,1,0,1,100.0,0.0
L4S,1,0,1,100.0,0.0
L4X,1,0,1,100.0,0.0
L5A,2,0,2,100.0,0.0
L5E,0,2,2,0.0,100.0
L5G,3,0,3,100.0,0.0
L5J,0,1,1,0.0,100.0
L5M,1,0,1,100.0,0.0
L5N,0,1,1,0.0,100.0
L6B,0,1,1,0.0,100.0
L8P,0,1,1,0.0,100.0
L9W,1,0,1,100.0,0.0
L9Z,0,2,2,0.0,100.0
N1E,2,0,2,100.0,0.0
N6C,3,0,3,100.0,0.0
P1C,0,1,1,0.0,100.0
No FSA,2,0,2,100.0,0.0
Total,25765,54895,80660,31.9,68.1
