,Neighbourhood,Neighbourhood Id,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 65 - 69 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Home Language Category,Language - Chinese,Language - Tamil,Language - Italian,Language - Spanish,Language - Portuguese,Language - Tagalog,Language - Urdu,Language - Russian,Language - Persian (Farsi),Language - Korean,Child 0-14,Youth 15-24,Seniors 55 and over,Seniors 65 and over,City Grants Funding $,Walk Score,Salvation Army Donors,Watermain Breaks,Neighbourhood Equity Score,Social Assistance Recipients,Local Employment,Businesses,Debt Risk Score,Home Prices,Child Care Spaces,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms,Fire Vehicle Incidents,Hazardous Incidents,Total Major Crime Incidents,Fire Medical Calls,Traffic Collisions,Road Kilometres,Road Volume,TTC Stops,Pedestrian/Other Collisions
0,West Humber-Clairville,1.0,30.09,34100.0,17095.0,17000.0,1865.0,1950.0,2155.0,2550.0,2855.0,2755.0,2360.0,2175.0,2445.0,2545.0,2360.0,1975.0,1780.0,1345.0,1070.0,895.0,585.0,410.0,32215.0,475.0,715.0,925.0,1100.0,205.0,850.0,715.0,15.0,160.0,95.0,5960.0,5400.0,8095.0,4330.0,123283.0,57.0,640.0,30.0,,2912.0,58271.0,2463.0,719.0,317508.0,195.0,62.0,390.0,68.0,175.0,82.0,288.0,54.0,0.0,4.0,705.0,502.0,210.0,1119.0,1321.0,778.0,165.00737880000003,5956.638889,338.0,727.0
1,Mount Olive-Silverstone-Jamestown,2.0,4.6,32790.0,16015.0,16765.0,2575.0,2535.0,2555.0,2620.0,2400.0,2335.0,2355.0,2530.0,2500.0,2370.0,2050.0,1610.0,1360.0,1055.0,775.0,605.0,340.0,170.0,31140.0,275.0,1420.0,750.0,820.0,115.0,345.0,1075.0,50.0,350.0,60.0,7665.0,5015.0,5935.0,2955.0,238172.0,61.0,222.0,8.0,,6561.0,3244.0,271.0,687.0,251119.0,60.0,90.0,316.0,75.0,61.0,78.0,62.0,7.0,1.0,3.0,361.0,59.0,176.0,690.0,1016.0,154.0,33.86731754,3514.166667,70.0,224.0
2,Thistletown-Beaumond Heights,3.0,3.4,10140.0,4920.0,5225.0,575.0,580.0,670.0,675.0,675.0,675.0,600.0,640.0,745.0,780.0,690.0,565.0,515.0,420.0,370.0,405.0,290.0,260.0,9455.0,95.0,120.0,705.0,570.0,105.0,130.0,300.0,15.0,115.0,35.0,1815.0,1350.0,2825.0,1740.0,7296.0,54.0,218.0,9.0,,1276.0,1311.0,217.0,718.0,414216.0,25.0,16.0,85.0,24.0,36.0,17.0,12.0,2.0,0.0,0.0,90.0,48.0,34.0,192.0,323.0,69.0,27.87682004,3545.0,45.0,109.0
3,Rexdale-Kipling,4.0,2.5,10485.0,5035.0,5455.0,495.0,520.0,570.0,665.0,650.0,645.0,600.0,645.0,745.0,825.0,865.0,710.0,630.0,455.0,415.0,385.0,360.0,300.0,9855.0,95.0,70.0,475.0,700.0,145.0,180.0,215.0,30.0,95.0,30.0,1590.0,1315.0,3245.0,1905.0,35100.0,58.0,336.0,5.0,,1323.0,1178.0,144.0,721.0,392271.0,75.0,15.0,59.0,20.0,32.0,16.0,18.0,3.0,1.0,0.0,94.0,34.0,55.0,164.0,305.0,96.0,25.23712912,7621.333333,40.0,62.0
4,Elms-Old Rexdale,5.0,2.9,9550.0,4615.0,4935.0,670.0,720.0,720.0,725.0,655.0,570.0,595.0,600.0,750.0,720.0,710.0,545.0,475.0,350.0,265.0,235.0,145.0,100.0,9190.0,90.0,60.0,510.0,670.0,80.0,195.0,140.0,30.0,285.0,55.0,2110.0,1380.0,2110.0,1100.0,0.0,48.0,152.0,10.0,,1683.0,903.0,67.0,692.0,233832.0,60.0,14.0,77.0,5.0,25.0,23.0,22.0,19.0,0.0,1.0,107.0,71.0,43.0,185.0,321.0,70.0,17.07821088,4115.5,29.0,63.0
5,Kingsview Village-The Westway,6.0,5.1,21725.0,10310.0,11415.0,1515.0,1470.0,1480.0,1460.0,1435.0,1385.0,1285.0,1415.0,1490.0,1630.0,1430.0,1220.0,1095.0,845.0,780.0,750.0,605.0,440.0,20845.0,315.0,215.0,1310.0,970.0,305.0,255.0,1285.0,150.0,475.0,185.0,4470.0,2925.0,5725.0,3405.0,0.0,56.0,681.0,21.0,,4348.0,2799.0,160.0,717.0,292861.0,129.0,47.0,134.0,22.0,59.0,32.0,48.0,8.0,1.0,0.0,244.0,186.0,117.0,351.0,680.0,74.0,34.67941211,3371.0,70.0,105.0
6,Willowridge-Martingrove-Richview,7.0,5.5,21345.0,10190.0,11145.0,1110.0,1070.0,1195.0,1320.0,1355.0,1235.0,1105.0,1190.0,1460.0,1570.0,1635.0,1355.0,1220.0,925.0,910.0,1025.0,895.0,760.0,20655.0,390.0,145.0,1745.0,760.0,370.0,250.0,485.0,130.0,105.0,320.0,3415.0,2660.0,7060.0,4505.0,14425.0,51.0,1186.0,5.0,,2032.0,1843.0,169.0,750.0,511637.0,165.0,18.0,131.0,22.0,66.0,48.0,49.0,8.0,0.0,2.0,228.0,78.0,111.0,342.0,640.0,179.0,58.1905001,2446.833333,81.0,80.0
7,Humber Heights-Westmount,8.0,2.8,10580.0,4740.0,5840.0,495.0,495.0,485.0,615.0,530.0,520.0,560.0,585.0,670.0,800.0,750.0,655.0,595.0,460.0,505.0,555.0,570.0,750.0,9725.0,70.0,5.0,1090.0,405.0,315.0,40.0,55.0,200.0,45.0,85.0,1470.0,1145.0,4090.0,2850.0,32400.0,58.0,595.0,31.0,,856.0,896.0,82.0,753.0,491396.0,140.0,12.0,41.0,1.0,28.0,15.0,8.0,1.0,0.0,1.0,165.0,37.0,64.0,106.0,512.0,54.0,25.33142639,7039.0,58.0,27.0
8,Edenbridge-Humber Valley,9.0,5.5,14945.0,7075.0,7865.0,570.0,755.0,855.0,900.0,960.0,915.0,745.0,825.0,1045.0,1225.0,1250.0,1140.0,955.0,720.0,590.0,565.0,485.0,450.0,14620.0,225.0,5.0,900.0,745.0,310.0,105.0,15.0,355.0,40.0,190.0,2180.0,1860.0,4870.0,2770.0,0.0,49.0,1192.0,22.0,,751.0,1334.0,153.0,761.0,873268.0,30.0,4.0,57.0,5.0,75.0,18.0,21.0,5.0,0.0,1.0,113.0,25.0,73.0,185.0,317.0,150.0,44.71755334,4880.25,63.0,39.0
9,Princess-Rosethorn,10.0,5.2,11200.0,5470.0,5730.0,405.0,610.0,735.0,950.0,800.0,430.0,370.0,460.0,770.0,1045.0,1070.0,925.0,710.0,505.0,395.0,370.0,335.0,320.0,10965.0,325.0,20.0,465.0,110.0,145.0,65.0,35.0,110.0,70.0,245.0,1745.0,1750.0,3560.0,1930.0,0.0,48.0,1139.0,19.0,,299.0,1226.0,74.0,791.0,971668.0,367.0,16.0,48.0,1.0,50.0,17.0,16.0,9.0,0.0,0.0,76.0,22.0,54.0,157.0,214.0,78.0,55.51501804,4781.0,61.0,49.0
